2025-07-29 04:37:44.004 355 Loaded 0 items
2025-07-29 06:08:55.433 309 Loaded persisted syncs: 0 periodic syncs, 0 oneshot syncs, 13 total system server jobs, JobStats: FirstLoad: 4/4/0 LastSave: -1/-1/-1
2025-07-29 06:08:55.536 309 onUnlockUser: user=0
2025-07-29 06:08:55.562 309 updateRunningAccountsH: []
2025-07-29 06:08:55.562 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.571 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.636 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:55.636 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.579 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.580 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.580 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.580 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.612 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.612 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.632 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.690 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.691 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.698 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.738 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:08:56.738 309 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.526 313 Loaded 0 items
2025-07-29 06:12:45.527 313 Sync manager initialized: redroid/redroid_x86_64/redroid_x86_64:11/RD2A.211001.002/eng.frank.20240527.144006:userdebug/test-keys
2025-07-29 06:12:45.578 313 onStartUser: user=0
2025-07-29 06:12:45.626 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.626 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.629 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.630 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.632 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.660 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.681 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.743 313 rescheduleSyncs() ep=ALL ACCS/ALL PDRS:u-1 why=network reconnect
2025-07-29 06:12:45.743 313 Loaded persisted syncs: 0 periodic syncs, 0 oneshot syncs, 13 total system server jobs, JobStats: FirstLoad: 4/4/0 LastSave: -1/-1/-1
2025-07-29 06:12:45.760 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.861 313 onUnlockUser: user=0
2025-07-29 06:12:45.881 313 updateRunningAccountsH: []
2025-07-29 06:12:45.881 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.890 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.944 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:45.944 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:46.896 313 scheduleSync: no accounts configured, dropping
2025-07-29 06:12:46.897 313 scheduleSync: no accounts configured, dropping
